Judge Name, Unique id
Sharad Arvind Bobde,18438c41-e8db-4071-bcfd-a61eb3d624bd
N.V. Ramana,f80abd89-c21a-4351-b03e-0cf4e349e748
Arun Mishra,9350dda1-ba05-4336-9c78-9fd885700364
R.F. Nariman,b9cd4b56-3d67-45dd-a68d-a85e89a7c3d1
R. Banumathi,ae7e2fb7-053f-4eb5-bf8d-91d7d78b13f7
Uday Umesh Lalit,c1d49413-2bfa-4ed8-a639-e46e8c6f28d2
A.M. Khanwilkar,bba4ce1a-1e55-468b-a5ce-f4ab203f89a4
D.Y. Chandrachud,304116b4-85ee-4404-8f31-4f7eaa8d74d4
Ashok Bhushan,ee6f05cf-877c-43f6-a969-27a300d1105b
L. Nageswara Rao,6a25e139-0576-4de5-82c8-cc39521ea946
Sanjay Kishan Kaul,bf8fa601-83f1-4c7b-84e7-30f6d3eb3afe
Mohan M. Shantanagoudar,91ca2c9c-1c6b-4c1d-9c76-014251211f0b
S. Abdul Nazeer,62a16e56-8a17-49ae-a31c-abacf9b6ad9c
Navin Sinha,b91198fb-89df-46cc-8759-5fcd4ad4e2e1
Deepak Gupta,1e7c1006-4418-4183-9fe3-2c0f50f4f2a4
Indu Malhotra,1ce5f569-b7e0-4c6b-8dc5-338687c03aba
Indira Banerjee,219178c7-4ecb-4b96-83d4-0d48e0bf4d48
Vineet Saran,b1294905-7b1d-41c8-aaf4-9e9224b1573e
K.M. Joseph,66b69031-6fa8-484e-b520-f5fe972dc841
Hemant Gupta,4a53fb2e-e388-4fef-9060-46d3740cd423
R.Subhash Reddy,4f06ce14-46aa-480a-93d1-e2ec7f8ca614
Mukeshkumar Rasikbhai Shah,e961008b-5398-4e1e-938b-2b3f9b4d1768
Ajay Rastogi,af022a0f-e808-4e29-97b6-881ba0a2ee17
Dinesh Maheshwari,675688d0-5a7d-4317-8c48-7878147dce10
Sanjiv Khanna,7d2e7b53-3af7-44ad-aa7f-651225e4b0af
Bhushan Ramkrishna Gavai,3076c356-b326-4204-8c92-0191957deb33
Surya Kant,02335f36-972b-4028-b8e1-e9fcb7beab51
Aniruddha Bose,f114dcc8-f444-4d15-b04a-c40b6f10553e
Ajjikuttira Somaiah Bopanna,71016f11-545b-4b49-adde-9b4b550d4971
Krishna Murari,cef422de-a022-4706-b2f4-3a29bda8eece
Shripathi Ravindra Bhat,a5293d4c-3a9d-4a14-a416-27e91da01256
V. Ramasubramanian,7bbbfff1-e2bf-471b-a77d-166963749470
Hrishikesh Roy,69b6a451-73ec-4d6e-8773-886449064e68
Harilal Jekisundas Kania,fe338a97-6a97-4d85-8ef9-c16404c2f184
M. Patanjali Sastri,2decd540-480c-4c02-b2f1-e1270c6a3e5a
Mehr Chand Mahajan,9b8b2dc8-f192-42dd-bc4b-1aa5df93a0a6
Bijan Kumar Mukherjea,71277ff3-664d-40ba-a189-19ba99835751
Sudhi Ranjan Das,bd5f4557-e3fb-4c7f-95eb-635e04d2c9d0
Bhuvneshwar Prasad Sinha,4d57cd91-81ae-4533-9289-1bcd0e678a5d
P.B. Gajendragadkar,07f2a137-01ec-4d55-8b34-fffbd8e406fe
A.K. Sarkar,1074691c-6dc8-4472-81db-29af73ac5998
K. Subba Rao,6d78fa1f-04fe-4f5a-9434-28630aa28bbf
K.N. Wanchoo,eba17a71-13af-4ae1-aaac-24ba7f7b8b9e
M. Hidayatullah,90162689-2dfd-47e5-9282-c6b437b7bf89
J.C. Shah,3db73e91-086f-4963-a8b3-f161f2c88995
S.M. Sikri,bac7afec-ab13-45c9-9bb4-4924f31651db
